IUCN,SPEC,COU,Value
VULNERABLE_IND,BIRD,GRC,31
TOT_KNOWN,BIRD,HUN,435
TOT_KNOWN_IND,BIRD,HUN,420
ENDANGERED,BIRD,HUN,23
CRITICAL,BIRD,HUN,20
VULNERABLE,BIRD,HUN,35
THREATENED,BIRD,HUN,78
ENDANGERED_IND,BIRD,HUN,23
CRITICAL_IND,BIRD,HUN,20
VULNERABLE_IND,BIRD,HUN,35
TOT_KNOWN,BIRD,ISL,75
ENDANGERED,BIRD,ISL,11
CRITICAL,BIRD,ISL,6
VULNERABLE,BIRD,ISL,16
THREATENED,BIRD,ISL,33
TOT_KNOWN,BIRD,IRL,478
TOT_KNOWN_IND,BIRD,IRL,478
ENDANGERED,BIRD,IRL,37
VULNERABLE,BIRD,IRL,90
THREATENED,BIRD,IRL,127
TOT_KNOWN,BIRD,ITA,267
ENDANGERED,BIRD,ITA,22
CRITICAL,BIRD,ITA,6
VULNERABLE,BIRD,ITA,46
THREATENED,BIRD,ITA,74
TOT_KNOWN,BIRD,JPN,700
ENDANGERED,BIRD,JPN,31
CRITICAL,BIRD,JPN,23
VULNERABLE,BIRD,JPN,43
THREATENED,BIRD,JPN,97
TOT_KNOWN,BIRD,KOR,527
ENDANGERED,BIRD,KOR,18
CRITICAL,BIRD,KOR,1
VULNERABLE,BIRD,KOR,36
THREATENED,BIRD,KOR,55
TOT_KNOWN,BIRD,LUX,131
TOT_KNOWN_IND,BIRD,LUX,5
ENDANGERED,BIRD,LUX,9
CRITICAL,BIRD,LUX,7
VULNERABLE,BIRD,LUX,9
THREATENED,BIRD,LUX,25
TOT_KNOWN,BIRD,MEX,1123
TOT_KNOWN_IND,BIRD,MEX,194
ENDANGERED,BIRD,MEX,90
CRITICAL,BIRD,MEX,19
VULNERABLE,BIRD,MEX,124
THREATENED,BIRD,MEX,233
ENDANGERED_IND,BIRD,MEX,40
CRITICAL_IND,BIRD,MEX,13
VULNERABLE_IND,BIRD,MEX,29
TOT_KNOWN,BIRD,NLD,168
ENDANGERED,BIRD,NLD,12
CRITICAL,BIRD,NLD,9
VULNERABLE,BIRD,NLD,19
THREATENED,BIRD,NLD,40
TOT_KNOWN,BIRD,NZL,254
TOT_KNOWN_IND,BIRD,NZL,217
ENDANGERED_IND,BIRD,NZL,13
CRITICAL_IND,BIRD,NZL,20
VULNERABLE_IND,BIRD,NZL,32
TOT_KNOWN,BIRD,NOR,264
TOT_KNOWN_IND,BIRD,NOR,232
ENDANGERED,BIRD,NOR,15
CRITICAL,BIRD,NOR,6
VULNERABLE,BIRD,NOR,25
THREATENED,BIRD,NOR,46
ENDANGERED_IND,BIRD,NOR,15
CRITICAL_IND,BIRD,NOR,6
VULNERABLE_IND,BIRD,NOR,25
TOT_KNOWN,BIRD,POL,451
TOT_KNOWN_IND,BIRD,POL,445
ENDANGERED,BIRD,POL,8
CRITICAL,BIRD,POL,16
VULNERABLE,BIRD,POL,10
THREATENED,BIRD,POL,34
ENDANGERED_IND,BIRD,POL,8
CRITICAL_IND,BIRD,POL,16
VULNERABLE_IND,BIRD,POL,10
TOT_KNOWN,BIRD,PRT,393
TOT_KNOWN_IND,BIRD,PRT,362
ENDANGERED,BIRD,PRT,30
CRITICAL,BIRD,PRT,20
VULNERABLE,BIRD,PRT,61
THREATENED,BIRD,PRT,111
ENDANGERED_IND,BIRD,PRT,30
CRITICAL_IND,BIRD,PRT,20
VULNERABLE_IND,BIRD,PRT,61
TOT_KNOWN,BIRD,SVK,211
ENDANGERED,BIRD,SVK,24
CRITICAL,BIRD,SVK,10
VULNERABLE,BIRD,SVK,17
THREATENED,BIRD,SVK,51
ENDANGERED_IND,BIRD,SVK,24
CRITICAL_IND,BIRD,SVK,10
VULNERABLE_IND,BIRD,SVK,17
TOT_KNOWN,BIRD,ESP,581
ENDANGERED,BIRD,ESP,33
CRITICAL,BIRD,ESP,18
VULNERABLE,BIRD,ESP,63
