alpha3,SPEC,IUCN,Value
DEU,BIRD,TOT_KNOWN_IND,244
DEU,BIRD,ENDANGERED,24
DEU,BIRD,CRITICAL,30
DEU,BIRD,VULNERABLE,40
DEU,BIRD,THREATENED,94
DEU,BIRD,ENDANGERED_IND,24
DEU,BIRD,CRITICAL_IND,30
DEU,BIRD,VULNERABLE_IND,40
GRC,BIRD,TOT_KNOWN,440
GRC,BIRD,TOT_KNOWN_IND,351
GRC,BIRD,ENDANGERED,17
GRC,BIRD,CRITICAL,14
GRC,BIRD,VULNERABLE,31
GRC,BIRD,THREATENED,62
GRC,BIRD,ENDANGERED_IND,17
GRC,BIRD,CRITICAL_IND,14
GRC,BIRD,VULNERABLE_IND,31
HUN,BIRD,TOT_KNOWN,435
HUN,BIRD,TOT_KNOWN_IND,420
HUN,BIRD,ENDANGERED,23
HUN,BIRD,CRITICAL,20
HUN,BIRD,VULNERABLE,35
HUN,BIRD,THREATENED,78
HUN,BIRD,ENDANGERED_IND,23
HUN,BIRD,CRITICAL_IND,20
HUN,BIRD,VULNERABLE_IND,35
ISL,BIRD,TOT_KNOWN,75
ISL,BIRD,ENDANGERED,11
ISL,BIRD,CRITICAL,6
ISL,BIRD,VULNERABLE,16
ISL,BIRD,THREATENED,33
IRL,BIRD,TOT_KNOWN,478
IRL,BIRD,TOT_KNOWN_IND,478
IRL,BIRD,ENDANGERED,37
IRL,BIRD,VULNERABLE,90
IRL,BIRD,THREATENED,127
ITA,BIRD,TOT_KNOWN,267
ITA,BIRD,ENDANGERED,22
ITA,BIRD,CRITICAL,6
ITA,BIRD,VULNERABLE,46
ITA,BIRD,THREATENED,74
JPN,BIRD,TOT_KNOWN,700
JPN,BIRD,ENDANGERED,31
JPN,BIRD,CRITICAL,23
JPN,BIRD,VULNERABLE,43
JPN,BIRD,THREATENED,97
KOR,BIRD,TOT_KNOWN,527
KOR,BIRD,ENDANGERED,18
KOR,BIRD,CRITICAL,1
KOR,BIRD,VULNERABLE,36
KOR,BIRD,THREATENED,55
LUX,BIRD,TOT_KNOWN,131
LUX,BIRD,TOT_KNOWN_IND,5
LUX,BIRD,ENDANGERED,9
LUX,BIRD,CRITICAL,7
LUX,BIRD,VULNERABLE,9
LUX,BIRD,THREATENED,25
MEX,BIRD,TOT_KNOWN,1123
MEX,BIRD,TOT_KNOWN_IND,194
MEX,BIRD,ENDANGERED,90
MEX,BIRD,CRITICAL,19
MEX,BIRD,VULNERABLE,124
MEX,BIRD,THREATENED,233
MEX,BIRD,ENDANGERED_IND,40
MEX,BIRD,CRITICAL_IND,13
MEX,BIRD,VULNERABLE_IND,29
NLD,BIRD,TOT_KNOWN,168
NLD,BIRD,ENDANGERED,12
NLD,BIRD,CRITICAL,9
NLD,BIRD,VULNERABLE,19
NLD,BIRD,THREATENED,40
NZL,BIRD,TOT_KNOWN,254
NZL,BIRD,TOT_KNOWN_IND,217
NZL,BIRD,ENDANGERED_IND,13
NZL,BIRD,CRITICAL_IND,20
NZL,BIRD,VULNERABLE_IND,32
NOR,BIRD,TOT_KNOWN,264
NOR,BIRD,TOT_KNOWN_IND,232
NOR,BIRD,ENDANGERED,15
NOR,BIRD,CRITICAL,6
NOR,BIRD,VULNERABLE,25
NOR,BIRD,THREATENED,46
NOR,BIRD,ENDANGERED_IND,15
NOR,BIRD,CRITICAL_IND,6
NOR,BIRD,VULNERABLE_IND,25
POL,BIRD,TOT_KNOWN,451
POL,BIRD,TOT_KNOWN_IND,445
POL,BIRD,ENDANGERED,8
POL,BIRD,CRITICAL,16
POL,BIRD,VULNERABLE,10
POL,BIRD,THREATENED,34
POL,BIRD,ENDANGERED_IND,8
POL,BIRD,CRITICAL_IND,16
POL,BIRD,VULNERABLE_IND,10
PRT,BIRD,TOT_KNOWN,393
PRT,BIRD,TOT_KNOWN_IND,362
PRT,BIRD,ENDANGERED,30
PRT,BIRD,CRITICAL,20
PRT,BIRD,VULNERABLE,61
PRT,BIRD,THREATENED,111
PRT,BIRD,ENDANGERED_IND,30
PRT,BIRD,CRITICAL_IND,20
PRT,BIRD,VULNERABLE_IND,61
SVK,BIRD,TOT_KNOWN,211
SVK,BIRD,ENDANGERED,24
SVK,BIRD,CRITICAL,10
SVK,BIRD,VULNERABLE,17
SVK,BIRD,THREATENED,51
SVK,BIRD,ENDANGERED_IND,24
SVK,BIRD,CRITICAL_IND,10
SVK,BIRD,VULNERABLE_IND,17
ESP,BIRD,TOT_KNOWN,581
ESP,BIRD,ENDANGERED,33
ESP,BIRD,CRITICAL,18
ESP,BIRD,VULNERABLE,63
ESP,BIRD,THREATENED,114
ESP,BIRD,ENDANGERED_IND,33
ESP,BIRD,CRITICAL_IND,18
ESP,BIRD,VULNERABLE_IND,63
SWE,BIRD,TOT_KNOWN,257
SWE,BIRD,TOT_KNOWN_IND,257
SWE,BIRD,ENDANGERED,11
SWE,BIRD,CRITICAL,6
SWE,BIRD,VULNERABLE,35
SWE,BIRD,THREATENED,52
SWE,BIRD,ENDANGERED_IND,11
SWE,BIRD,CRITICAL_IND,6
SWE,BIRD,VULNERABLE_IND,35
CHE,BIRD,TOT_KNOWN,205
CHE,BIRD,TOT_KNOWN_IND,199
CHE,BIRD,ENDANGERED,21
CHE,BIRD,CRITICAL,9
CHE,BIRD,VULNERABLE,41
CHE,BIRD,THREATENED,71
CHE,BIRD,ENDANGERED_IND,21
CHE,BIRD,CRITICAL_IND,9
CHE,BIRD,VULNERABLE_IND,41
TUR,BIRD,TOT_KNOWN,460
TUR,BIRD,THREATENED,17
GBR,BIRD,TOT_KNOWN,590
GBR,BIRD,ENDANGERED,50
GBR,BIRD,CRITICAL,27
GBR,BIRD,VULNERABLE,57
GBR,BIRD,THREATENED,134
GBR,BIRD,ENDANGERED_IND,50
GBR,BIRD,CRITICAL_IND,27
GBR,BIRD,VULNERABLE_IND,57
USA,BIRD,TOT_KNOWN,831
USA,BIRD,TOT_KNOWN_IND,766
USA,BIRD,ENDANGERED,25
USA,BIRD,CRITICAL,36
USA,BIRD,VULNERABLE,40
USA,BIRD,THREATENED,101
USA,BIRD,ENDANGERED_IND,23
USA,BIRD,CRITICAL_IND,35
USA,BIRD,VULNERABLE_IND,39
CHL,BIRD,TOT_KNOWN,498
CHL,BIRD,TOT_KNOWN_IND,492
CHL,BIRD,ENDANGERED,21
CHL,BIRD,VULNERABLE,22
CHL,BIRD,THREATENED,45
CHL,BIRD,ENDANGERED_IND,21
CHL,BIRD,VULNERABLE_IND,22
EST,BIRD,TOT_KNOWN,377
EST,BIRD,TOT_KNOWN_IND,370
EST,BIRD,ENDANGERED,8
EST,BIRD,CRITICAL,8
EST,BIRD,VULNERABLE,22
EST,BIRD,THREATENED,38
EST,BIRD,ENDANGERED_IND,8
EST,BIRD,CRITICAL_IND,8
EST,BIRD,VULNERABLE_IND,22
RUS,BIRD,TOT_KNOWN,732
RUS,BIRD,THREATENED,56
SVN,BIRD,TOT_KNOWN,380
SVN,BIRD,TOT_KNOWN_IND,365
SVN,BIRD,ENDANGERED,43
SVN,BIRD,CRITICAL,17
SVN,BIRD,VULNERABLE,45
SVN,BIRD,THREATENED,105
SVN,BIRD,ENDANGERED_IND,43
SVN,BIRD,CRITICAL_IND,17
SVN,BIRD,VULNERABLE_IND,45
AUS,REPTILE,TOT_KNOWN,1025
AUS,REPTILE,ENDANGERED,18
AUS,REPTILE,CRITICAL,10
AUS,REPTILE,VULNERABLE,33
AUS,REPTILE,THREATENED,61
AUS,REPTILE,ENDANGERED_IND,18
AUS,REPTILE,CRITICAL_IND,10
AUS,REPTILE,VULNERABLE_IND,33
AUT,REPTILE,TOT_KNOWN,14
AUT,REPTILE,TOT_KNOWN_IND,14
AUT,REPTILE,ENDANGERED,3
AUT,REPTILE,CRITICAL,3
AUT,REPTILE,VULNERABLE,3
AUT,REPTILE,THREATENED,9
AUT,REPTILE,ENDANGERED_IND,3
AUT,REPTILE,CRITICAL_IND,3
AUT,REPTILE,VULNERABLE_IND,3
BEL,REPTILE,TOT_KNOWN,10
BEL,REPTILE,TOT_KNOWN_IND,7
BEL,REPTILE,ENDANGERED,2
BEL,REPTILE,VULNERABLE,2
BEL,REPTILE,THREATENED,4
BEL,REPTILE,ENDANGERED_IND,2
BEL,REPTILE,VULNERABLE_IND,2
CAN,REPTILE,TOT_KNOWN,45
CAN,REPTILE,TOT_KNOWN_IND,43
CAN,REPTILE,ENDANGERED,6
CAN,REPTILE,VULNERABLE,15
CAN,REPTILE,THREATENED,26
CAN,REPTILE,ENDANGERED_IND,6
CAN,REPTILE,VULNERABLE_IND,15
CZE,REPTILE,TOT_KNOWN,13
CZE,REPTILE,TOT_KNOWN_IND,11
CZE,REPTILE,ENDANGERED,3
CZE,REPTILE,CRITICAL,3
CZE,REPTILE,VULNERABLE,1
CZE,REPTILE,THREATENED,7
DNK,REPTILE,TOT_KNOWN,8
DNK,REPTILE,TOT_KNOWN_IND,8
FIN,REPTILE,TOT_KNOWN,5
FIN,REPTILE,TOT_KNOWN_IND,5
FIN,REPTILE,VULNERABLE,1
FIN,REPTILE,THREATENED,1
FIN,REPTILE,VULNERABLE_IND,1
FRA,REPTILE,TOT_KNOWN,38
FRA,REPTILE,ENDANGERED,3
FRA,REPTILE,CRITICAL,0
FRA,REPTILE,VULNERABLE,6
FRA,REPTILE,THREATENED,9
DEU,REPTILE,TOT_KNOWN,13
DEU,REPTILE,TOT_KNOWN_IND,13
DEU,REPTILE,ENDANGERED,3
DEU,REPTILE,CRITICAL,4
DEU,REPTILE,VULNERABLE,1
DEU,REPTILE,THREATENED,8
DEU,REPTILE,ENDANGERED_IND,3
DEU,REPTILE,CRITICAL_IND,4
DEU,REPTILE,VULNERABLE_IND,1
GRC,REPTILE,TOT_KNOWN,66
GRC,REPTILE,TOT_KNOWN_IND,64
GRC,REPTILE,ENDANGERED,2
GRC,REPTILE,CRITICAL,1
GRC,REPTILE,VULNERABLE,6
GRC,REPTILE,THREATENED,9
GRC,REPTILE,ENDANGERED_IND,2
GRC,REPTILE,CRITICAL_IND,1
GRC,REPTILE,VULNERABLE_IND,6
HUN,REPTILE,TOT_KNOWN,15
HUN,REPTILE,TOT_KNOWN_IND,15
HUN,REPTILE,ENDANGERED,4
HUN,REPTILE,THREATENED,4
HUN,REPTILE,ENDANGERED_IND,4
IRL,REPTILE,TOT_KNOWN,3
IRL,REPTILE,TOT_KNOWN_IND,2
IRL,REPTILE,ENDANGERED,0
IRL,REPTILE,THREATENED,0
IRL,REPTILE,ENDANGERED_IND,0
ITA,REPTILE,TOT_KNOWN,56
ITA,REPTILE,ENDANGERED,5
ITA,REPTILE,CRITICAL,1
ITA,REPTILE,VULNERABLE,5
ITA,REPTILE,THREATENED,11
JPN,REPTILE,TOT_KNOWN,100
JPN,REPTILE,ENDANGERED,9
JPN,REPTILE,CRITICAL,5
JPN,REPTILE,VULNERABLE,23
JPN,REPTILE,THREATENED,37
KOR,REPTILE,TOT_KNOWN,32
KOR,REPTILE,ENDANGERED,3
KOR,REPTILE,VULNERABLE,2
KOR,REPTILE,THREATENED,5
LUX,REPTILE,TOT_KNOWN,6
LUX,REPTILE,ENDANGERED,0
LUX,REPTILE,CRITICAL,0
LUX,REPTILE,VULNERABLE,2
LUX,REPTILE,THREATENED,2
MEX,REPTILE,TOT_KNOWN,908
MEX,REPTILE,TOT_KNOWN_IND,509
MEX,REPTILE,ENDANGERED,27
MEX,REPTILE,CRITICAL,0
MEX,REPTILE,VULNERABLE,138
MEX,REPTILE,THREATENED,165
MEX,REPTILE,ENDANGERED_IND,17
MEX,REPTILE,CRITICAL_IND,0
MEX,REPTILE,VULNERABLE_IND,92
NLD,REPTILE,TOT_KNOWN,7
NLD,REPTILE,ENDANGERED,0
NLD,REPTILE,CRITICAL,1
NLD,REPTILE,VULNERABLE,4
NLD,REPTILE,THREATENED,5
NZL,REPTILE,TOT_KNOWN,107
NZL,REPTILE,TOT_KNOWN_IND,106
NZL,REPTILE,ENDANGERED_IND,8
NZL,REPTILE,CRITICAL_IND,8
NZL,REPTILE,VULNERABLE_IND,21
NOR,REPTILE,TOT_KNOWN,6
NOR,REPTILE,TOT_KNOWN_IND,5
POL,REPTILE,TOT_KNOWN,11
POL,REPTILE,TOT_KNOWN_IND,9
POL,REPTILE,ENDANGERED,1
POL,REPTILE,CRITICAL,1
POL,REPTILE,VULNERABLE,1
POL,REPTILE,THREATENED,3
POL,REPTILE,ENDANGERED_IND,1
POL,REPTILE,CRITICAL_IND,1
POL,REPTILE,VULNERABLE_IND,1
PRT,REPTILE,TOT_KNOWN,49
PRT,REPTILE,TOT_KNOWN_IND,32
PRT,REPTILE,ENDANGERED,4
PRT,REPTILE,VULNERABLE,6
PRT,REPTILE,THREATENED,10
PRT,REPTILE,ENDANGERED_IND,4
PRT,REPTILE,VULNERABLE_IND,6
SVK,REPTILE,TOT_KNOWN,12
SVK,REPTILE,TOT_KNOWN_IND,12
SVK,REPTILE,CRITICAL,1
SVK,REPTILE,VULNERABLE,4
SVK,REPTILE,THREATENED,5
SVK,REPTILE,CRITICAL_IND,1
SVK,REPTILE,VULNERABLE_IND,4
ESP,REPTILE,TOT_KNOWN,92
ESP,REPTILE,ENDANGERED,10
ESP,REPTILE,CRITICAL,8
ESP,REPTILE,VULNERABLE,16
ESP,REPTILE,THREATENED,34
ESP,REPTILE,ENDANGERED_IND,10
ESP,REPTILE,CRITICAL_IND,8
ESP,REPTILE,VULNERABLE_IND,16
SWE,REPTILE,TOT_KNOWN,6
SWE,REPTILE,TOT_KNOWN_IND,6
SWE,REPTILE,VULNERABLE,2
SWE,REPTILE,THREATENED,2
SWE,REPTILE,VULNERABLE_IND,2
CHE,REPTILE,TOT_KNOWN,19
CHE,REPTILE,TOT_KNOWN_IND,19
CHE,REPTILE,ENDANGERED,7
CHE,REPTILE,CRITICAL,3
CHE,REPTILE,VULNERABLE,5
CHE,REPTILE,THREATENED,15
CHE,REPTILE,ENDANGERED_IND,7
CHE,REPTILE,CRITICAL_IND,3
CHE,REPTILE,VULNERABLE_IND,5
GBR,REPTILE,TOT_KNOWN,15
USA,REPTILE,TOT_KNOWN,345
USA,REPTILE,TOT_KNOWN_IND,301
USA,REPTILE,ENDANGERED,20
USA,REPTILE,CRITICAL,8
USA,REPTILE,VULNERABLE,34
USA,REPTILE,THREATENED,62
USA,REPTILE,ENDANGERED_IND,20
USA,REPTILE,CRITICAL_IND,8
USA,REPTILE,VULNERABLE_IND,33
CHL,REPTILE,TOT_KNOWN,131
CHL,REPTILE,TOT_KNOWN_IND,122
CHL,REPTILE,ENDANGERED,17
CHL,REPTILE,VULNERABLE,25
CHL,REPTILE,THREATENED,52
CHL,REPTILE,ENDANGERED_IND,17
CHL,REPTILE,VULNERABLE_IND,25
EST,REPTILE,TOT_KNOWN,2
EST,REPTILE,TOT_KNOWN_IND,2
EST,REPTILE,VULNERABLE,1
EST,REPTILE,THREATENED,1
EST,REPTILE,VULNERABLE_IND,1
